Issue Key,Summary,Assignee,Issue Type,Parent Issue,Created Date,Field,From,To,Changed At,Duration
SCRUM-25,Test Subtask,Unassigned,Sub-task,None,2025-03-21T14:01:19.000+0000,created,None,Sub-task,2025-03-21T14:01:19.000+0000,N/A
SCRUM-24,Test Python,Michel Katz,Story,None,2025-03-21T13:14:11.000+0000,created,None,Story,2025-03-21T13:14:11.000+0000,N/A
SCRUM-24,Test Python,Michel Katz,Story,None,2025-03-21T13:14:11.000+0000,status,To Do,In Progress,2025-03-21T13:14:21.219+0000,0:00:08.758000
SCRUM-24,Test Python,Michel Katz,Story,None,2025-03-21T13:14:11.000+0000,assignee,Laurent Brichet,Michel Katz,2025-03-21T13:14:29.977+0000,0:00:02.937000
SCRUM-24,Test Python,Michel Katz,Story,None,2025-03-21T13:14:11.000+0000,resolution,None,Done,2025-03-21T13:14:32.914+0000,0:00:00
SCRUM-24,Test Python,Michel Katz,Story,None,2025-03-21T13:14:11.000+0000,status,In Progress,Done,2025-03-21T13:14:32.914+0000,0:00:00
SCRUM-23,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,created,None,Story,2025-02-27T23:49:14.000+0000,N/A
SCRUM-23,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,Sprint,None,Sample Sprint 1,2025-02-27T23:49:14.433+0000,"12 days, 8:35:00"
SCRUM-23,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,status,To Do,Done,2025-03-12T08:24:14.433+0000,0:00:00
SCRUM-22,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,created,None,Story,2025-02-27T23:49:14.000+0000,N/A
SCRUM-22,"As a user, I'd like a historical story to show in reports",Laurent Brichet,Story,None,2025-02-27T23:49:14.000+0000,Sprint,None,Sample Sprint 1,2025-02-27T23:49:14.433+0000,"10 days, 6:57:00"
